Stop_ID,Pre_2019,density,NIMI
7801392-1,False,1,Raadi-Kruusamäe
7801031-2,False,3,Raadi-Kruusamäe
7820378-1,False,1,Ränilinna
7820381-1,False,5,Jaamamõisa
7820380-1,False,5,Jaamamõisa
7820379-1,False,2,Ränilinna
7801386-1,False,3,Raadi-Kruusamäe
7801161-1,False,1,Endine Tähtvere vald
7800587-1,False,1,Endine Tähtvere vald
7800588-1,False,1,Endine Tähtvere vald
7801161-2,False,1,Endine Tähtvere vald
7801402-1,False,1,Annelinna
7801401-1,False,1,Annelinna
7801169-1,False,1,Ropka tööstuse
7800362-1,False,1,Raadi-Kruusamäe
7800991-1,False,1,Ropka tööstuse
7801055-1,False,1,Ropka tööstuse
7800364-1,False,1,Raadi-Kruusamäe
7801054-1,False,1,Ropka tööstuse
7800363-1,False,1,Raadi-Kruusamäe
7801361-1,False,1,Ropka tööstuse
7801409-1,False,1,Raadi-Kruusamäe
7820383-1,False,2,Annelinna
7820382-1,False,2,Annelinna
7820145-1,False,3,Ülejõe
7820386-1,False,5,Veeriku
7801132-1,False,1,Endine Tähtvere vald
7800952-1,False,1,Endine Tähtvere vald
7800388-1,False,1,Endine Tähtvere vald
7800984-1,False,0,Endine Tähtvere vald
7800376-1,False,1,Endine Tähtvere vald
7801134-1,False,1,Endine Tähtvere vald
7800389-1,False,1,Endine Tähtvere vald
7800922-1,False,0,Endine Tähtvere vald
7800209-1,False,0,Endine Tähtvere vald
7800803-1,False,0,Endine Tähtvere vald
7800383-1,False,0,Endine Tähtvere vald
7800550-1,False,1,Endine Tähtvere vald
7800297-1,False,0,Endine Tähtvere vald
7801131-1,False,1,Endine Tähtvere vald
7800262-1,False,0,Endine Tähtvere vald
7800377-1,False,1,Endine Tähtvere vald
7801043-1,False,0,Endine Tähtvere vald
7800133-1,False,0,Endine Tähtvere vald
7800891-1,False,0,Endine Tähtvere vald
7801133-1,False,1,Endine Tähtvere vald
7800551-1,False,1,Endine Tähtvere vald
7820116-2,False,1,Kvissentali
7800991-2,False,1,Ropka tööstuse
7820393-1,False,3,Ihaste
7820392-1,False,1,Ihaste
7820389-1,False,1,Kvissentali
7800431-2,False,1,Ränilinna
7820088-2,False,11,Kesklinna
7820387-1,False,1,Ränilinna
7820395-1,False,5,Jaamamõisa
7820394-1,False,5,Jaamamõisa
7820391-1,False,5,Jaamamõisa
7820390-1,False,5,Jaamamõisa
7800953-1,False,1,Endine Tähtvere vald
7820396-1,False,5,Ülejõe
